event_count,scenario,replicate,test_events,clock_bits_per_event,clock_mdl_net_bits,direction_mdl_net_bits,selected_direction_horizon,selected_direction_polarity,direction_test_accuracy,clock_mdl_accept,direction_mdl_accept,joint_mdl_accept
800,censored_execution_noise,27,191,0.4168203499405661,-8.265148131462027,89.56721418688167,5,contrarian,0.8848167539267016,False,True,False
800,censored_execution_noise,28,186,0.3256763203822898,-27.4141054399108,79.8112616185231,5,contrarian,0.8709677419354839,False,True,False
800,censored_execution_noise,29,174,0.2915057951119025,-37.533170696388844,87.50922789079365,5,contrarian,0.896551724137931,False,True,False
800,censored_execution_noise,30,205,0.2776814393344937,-30.63439058928421,86.769092871816,5,contrarian,0.8682926829268293,False,True,False
800,censored_execution_noise,31,202,0.3661804290082016,-13.65956924522527,101.75205192455162,5,contrarian,0.8960396039603961,False,True,False
800,censored_execution_noise,32,191,0.3820912498857911,-14.898406241924064,68.19542908988086,5,contrarian,0.8429319371727748,False,True,False
800,censored_execution_noise,33,206,0.3215823955515278,-21.290058163992555,105.12512747412873,5,contrarian,0.8980582524271845,False,True,False
800,censored_execution_noise,34,200,0.2338298873865633,-40.90780008239821,102.35328653986303,5,contrarian,0.8994974874371859,False,True,False
800,censored_execution_noise,35,190,0.3942378237104762,-12.995135103286884,80.26700451204765,5,contrarian,0.868421052631579,False,True,False
800,censored_execution_noise,36,197,0.5069127828571831,12.119683399814264,90.74947892388387,5,contrarian,0.8826530612244898,True,True,True
800,censored_execution_noise,37,177,0.493845849599444,-0.7786239746264272,66.67427136588621,5,contrarian,0.8522727272727273,False,True,False
800,censored_execution_noise,38,176,0.3646316503766603,-24.03615061289915,61.745071050533184,5,contrarian,0.8409090909090909,False,True,False
800,censored_execution_noise,39,193,0.47881072541837133,4.577719296316687,84.6356269056775,5,contrarian,0.875,True,True,True
800,censored_execution_noise,40,186,0.3904004051171611,-15.375425679224733,49.12234521103936,5,contrarian,0.8010752688172043,False,True,False
800,censored_execution_noise,41,209,0.477704534809694,12.37361173353949,81.971683393653,5,contrarian,0.8564593301435407,True,True,True
800,censored_execution_noise,42,212,0.34215957134956493,-14.859058149837693,86.93538289728112,5,contrarian,0.8632075471698113,False,True,False
800,censored_execution_noise,43,206,0.42046466459717546,-0.9203107405891302,80.66862366717201,5,contrarian,0.8578431372549019,False,True,False
800,censored_execution_noise,44,212,0.3394994712700618,-15.422999366692352,92.36839638653314,5,contrarian,0.8726415094339622,False,True,False
800,censored_execution_noise,45,211,0.41103981066088824,-0.6907762769419463,94.36507404997006,5,contrarian,0.8767772511848341,False,True,False
800,censored_execution_noise,46,200,0.31851109094235835,-23.971559371239195,77.56299094924316,5,contrarian,0.855,False,True,False
800,censored_execution_noise,47,195,0.29929390899368674,-29.42520540176966,89.93005161689804,5,contrarian,0.882051282051282,False,True,False
800,censored_execution_noise,48,201,0.3307190770691914,-21.17638134058599,80.93523127180161,5,contrarian,0.8606965174129353,False,True,False
800,censored_execution_noise,49,202,0.398895994926196,-7.051024929790401,95.68622960375069,5,contrarian,0.8861386138613861,False,True,False
800,censored_execution_noise,50,190,0.3530301829864804,-20.82458684084608,80.26700451204765,5,contrarian,0.868421052631579,False,True,False
800,censored_execution_noise,51,170,0.4388693751446645,-13.734682400086186,78.16490632872006,5,contrarian,0.8823529411764706,False,True,False
800,censored_execution_noise,52,222,0.4073687495718361,3.274068421191174,97.62870687219213,5,contrarian,0.8738738738738738,True,True,True
800,censored_execution_noise,53,180,0.23423346510334572,-45.96115813150304,89.45468279254004,5,contrarian,0.8944444444444445,False,True,False
800,censored_execution_noise,54,222,0.4492952707958217,12.581756132915984,81.11653497599322,5,contrarian,0.8461538461538461,True,True,True
800,censored_execution_noise,55,187,0.43429566259373026,-6.754272100034868,70.08506370883732,5,contrarian,0.8502673796791443,False,True,False
800,censored_execution_noise,56,209,0.46000453404052055,8.674311572782244,98.50661160792099,5,contrarian,0.8851674641148325,True,True,True
800,censored_execution_noise,57,182,0.4682772675541069,-2.85243607024411,75.82245203123301,5,contrarian,0.8674033149171271,False,True,False
800,censored_execution_noise,58,196,0.44004671028914755,-1.5156898069153328,96.71748100243073,5,contrarian,0.8928571428571429,False,True,False
800,censored_execution_noise,59,196,0.29575632305608274,-29.796605704596033,90.74947892388387,5,contrarian,0.8826530612244898,False,True,False
800,censored_execution_noise,60,213,0.38335268605758205,-5.719436454280512,92.36839638653314,5,contrarian,0.8726415094339622,False,True,False
800,censored_execution_noise,61,190,0.5259292603725146,12.026237862500423,94.76245545827646,5,contrarian,0.8947368421052632,True,True,True
800,censored_execution_noise,62,187,0.19812409106696763,-50.91835597553948,74.43638898755253,5,contrarian,0.8602150537634409,False,True,False
800,censored_execution_noise,63,201,0.5018894033539181,13.228854242644061,73.3151548384378,5,contrarian,0.845771144278607,True,True,True
800,censored_execution_noise,64,211,0.2400666971800016,-36.76610322140903,83.79301161565434,5,contrarian,0.8605769230769231,False,True,False
800,censored_execution_noise,65,209,0.4733096401864492,11.455078757281328,110.86432147062544,5,contrarian,0.9043062200956937,True,True,True
