ticket,missing_hours,duration_seconds,status,panel_rows,max_quote_staleness_seconds,exit_quote_staleness_seconds
93376580,[],25.0,INCLUDED,2.0,0.248,0.248
93377409,[],456.0,INCLUDED,31.0,2.323,0.314
93404708,[],157.0,INCLUDED,11.0,1.487,0.11
93411173,[],692.0,INCLUDED,47.0,3.246,0.469
93443489,[],189.0,INCLUDED,13.0,0.313,0.143
93461391,[],295.0,INCLUDED,20.0,0.475,0.08
93474519,[],485.0,INCLUDED,33.0,1.967,0.001
93510992,[],222.0,INCLUDED,15.0,1.863,0.526
93557927,[],1262.0,INCLUDED,85.0,1.863,0.288
93598278,[],592.0,INCLUDED,40.0,1.566,0.443
93609754,[],394.0,INCLUDED,27.0,0.564,0.009
93631282,[],25.0,INCLUDED,2.0,0.163,0.163
93650934,[],651.0,INCLUDED,44.0,0.491,0.035
93681010,[],206.0,INCLUDED,14.0,3.026,0.076
93682742,[],348.0,INCLUDED,24.0,0.98,0.98
93700747,[],528.0,INCLUDED,36.0,1.768,0.446
93757800,[],478.0,INCLUDED,32.0,0.57,0.02
93776205,[],533.0,INCLUDED,36.0,1.736,1.736
93798546,[],679.0,INCLUDED,46.0,1.863,0.022
93832434,[],593.0,INCLUDED,40.0,1.688,0.302
93873774,[],1549.0,INCLUDED,104.0,4.309,0.074
93909211,[],407.0,INCLUDED,28.0,1.099,0.043
93935706,[],306.0,INCLUDED,21.0,0.15,0.044
93990129,[],665.0,INCLUDED,45.0,1.929,0.009
94051620,[],2477.0,INCLUDED,166.0,1.753,0.199
94074059,[],769.0,INCLUDED,52.0,2.648,0.045
94116926,[],794.0,INCLUDED,53.0,2.718,1.572
94147775,[],653.0,INCLUDED,44.0,4.494,0.164
94199359,[],110.0,INCLUDED,8.0,0.432,0.023
94223505,[],119.0,INCLUDED,8.0,0.605,0.35
94240579,[],177.0,INCLUDED,12.0,1.084,0.477
94241160,[],837.0,INCLUDED,56.0,3.139,0.186
94258974,[],2763.0,INCLUDED,185.0,3.772,0.136
94289139,[],230.0,INCLUDED,16.0,0.362,0.016
94291110,[],154.0,INCLUDED,11.0,2.601,0.128
94292496,[],731.0,INCLUDED,49.0,1.044,0.029
94339039,[],1015.0,INCLUDED,68.0,2.085,0.024
94351863,['2026-07-08T11:00:00+00:00'],1744.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
94375434,[],240.0,INCLUDED,16.0,2.045,0.467
94382823,[],1314.0,INCLUDED,88.0,4.7,0.618
94425120,[],1188.0,INCLUDED,80.0,3.5,0.722
94467306,[],778.0,INCLUDED,52.0,1.278,0.936
94482317,[],357.0,INCLUDED,24.0,1.892,0.056
94517647,['2026-07-14T04:00:00+00:00'],291.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
94518850,[],2236.0,INCLUDED,150.0,2.088,0.759
94571902,[],604.0,INCLUDED,41.0,1.584,0.199
94588522,[],663.0,INCLUDED,45.0,1.567,0.755
94627775,[],717.0,INCLUDED,48.0,1.438,0.076
94694698,[],4387.0,INCLUDED,293.0,2.626,0.34
94754184,[],496.0,INCLUDED,34.0,2.873,0.234
94775324,[],476.0,INCLUDED,32.0,0.458,0.168
94810342,[],788.0,INCLUDED,53.0,1.714,0.318
94842197,[],189.0,INCLUDED,13.0,3.674,0.023
94864297,[],3662.0,INCLUDED,245.0,5.375,0.076
94908427,[],535.0,INCLUDED,36.0,0.973,0.059
94927689,[],1162.0,INCLUDED,78.0,4.967,0.362
94942223,[],4222.0,INCLUDED,282.0,5.576,0.097
94986774,[],602.0,INCLUDED,41.0,1.704,0.353
94991858,[],3079.0,INCLUDED,206.0,4.474,0.246
95047920,[],3191.0,EXCLUDED_STALE_QUOTES,,12.542,
95072289,[],728.0,INCLUDED,49.0,0.721,0.21
95107372,[],2475.0,INCLUDED,165.0,7.393,0.433
95168933,[],1991.0,INCLUDED,133.0,5.71,0.196
95248660,[],467.0,INCLUDED,32.0,1.67,1.4
95298275,[],256.0,INCLUDED,18.0,0.985,0.412
95369124,[],1938.0,EXCLUDED_STALE_QUOTES,,15.683,
95443868,[],796.0,INCLUDED,54.0,8.291,0.241
95511070,[],653.0,INCLUDED,44.0,4.93,1.542
95576013,[],725.0,INCLUDED,49.0,5.402,1.184
95598021,[],1820.0,EXCLUDED_STALE_QUOTES,,10.244,
95612645,[],475.0,INCLUDED,32.0,4.577,0.306
95709969,[],1742.0,INCLUDED,117.0,5.948,1.476
95773198,[],1921.0,INCLUDED,129.0,2.701,0.357
95800620,[],560.0,INCLUDED,38.0,4.77,0.271
95918631,[],736.0,INCLUDED,50.0,4.907,0.821
96004348,[],114.0,INCLUDED,8.0,5.772,0.151
96024216,[],605.0,INCLUDED,41.0,4.414,0.12
96113042,[],426.0,INCLUDED,29.0,2.576,0.412
96202433,[],118.0,INCLUDED,8.0,1.604,0.283
96325914,[],1125.0,INCLUDED,75.0,5.525,0.415
96332229,[],4841.0,INCLUDED,323.0,6.063,0.597
96391293,[],924.0,INCLUDED,62.0,5.438,0.498
96484066,['2026-08-18T03:00:00+00:00'],8024.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
96566692,[],495.0,INCLUDED,33.0,1.388,0.17
96653069,[],1444.0,INCLUDED,97.0,5.977,0.395
96756936,[],228.0,INCLUDED,16.0,7.216,1.361
96882975,[],1942.0,INCLUDED,130.0,7.175,1.335
97042659,[],357.0,INCLUDED,24.0,2.161,0.046
97143853,[],475.0,INCLUDED,32.0,1.934,0.254
97182841,[],678.0,INCLUDED,46.0,5.323,0.072
97352852,[],782.0,INCLUDED,53.0,2.785,0.843
97451919,[],414.0,INCLUDED,28.0,3.526,1.087
97638884,[],347.0,INCLUDED,24.0,1.169,0.82
97800092,[],352.0,INCLUDED,24.0,2.837,0.639
97982386,[],9963.0,INCLUDED,665.0,3.681,0.039
98070555,[],241.0,INCLUDED,17.0,0.585,0.077
98161217,[],199.0,INCLUDED,14.0,0.472,0.07
98188192,[],1261.0,INCLUDED,85.0,2.934,0.154
98366050,[],294.0,INCLUDED,20.0,0.415,0.056
98440487,[],239.0,INCLUDED,16.0,0.899,0.478
99000862,[],1319.0,INCLUDED,88.0,1.686,0.101
99208828,[],836.0,INCLUDED,56.0,1.719,0.69
99615317,[],2134.0,INCLUDED,143.0,4.029,0.28
99738973,[],266.0,INCLUDED,18.0,0.934,0.03
99754992,[],603.0,INCLUDED,41.0,1.002,0.395
100126875,[],366.0,INCLUDED,25.0,1.341,0.309
100453335,[],1405.0,INCLUDED,94.0,3.503,0.099
100653865,[],1262.0,INCLUDED,85.0,1.65,0.359
100675478,[],137.0,INCLUDED,10.0,1.056,0.599
100829495,[],503.0,INCLUDED,34.0,0.606,0.067
00983845,[],490.0,INCLUDED,33.0,4.917,0.259
