ticket,missing_hours,duration_seconds,status,panel_rows,max_quote_staleness_seconds,exit_quote_staleness_seconds
92660254,[],1199.0,INCLUDED,80.0,3.959,0.061
92699406,[],347.0,INCLUDED,24.0,1.172,0.291
92704162,[],822.0,INCLUDED,55.0,1.874,0.048
92707912,[],92.0,INCLUDED,7.0,0.5,0.157
92708453,[],99.0,INCLUDED,7.0,1.356,0.26
92749649,[],1062.0,INCLUDED,71.0,8.953,0.118
92755985,[],467.0,INCLUDED,32.0,1.427,0.108
92794484,['2026-05-15T03:00:00+00:00'],210.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
92816284,[],1068.0,INCLUDED,72.0,1.752,0.533
92863125,[],695.0,INCLUDED,47.0,1.561,0.171
92873305,[],100.0,INCLUDED,7.0,0.158,0.021
92878258,[],58.0,INCLUDED,4.0,0.147,0.01
92901499,[],487.0,INCLUDED,33.0,1.341,0.033
92905766,[],1259.0,INCLUDED,84.0,1.693,0.206
92943988,[],98.0,INCLUDED,7.0,0.479,0.479
92991008,[],898.0,INCLUDED,60.0,2.669,0.254
93028917,[],275.0,INCLUDED,19.0,2.551,0.767
93029514,[],214.0,INCLUDED,15.0,0.804,0.064
93037747,[],148.0,INCLUDED,10.0,0.427,0.008
93064584,[],1146.0,INCLUDED,77.0,3.975,1.863
93070782,[],196.0,INCLUDED,14.0,1.061,0.122
93086094,['2026-05-26T05:00:00+00:00'],1007.0,EXCLUDED_MISSING_TICKS_OR_DURATION,,,
93091481,[],170.0,INCLUDED,12.0,2.264,0.003
93095183,[],329.0,INCLUDED,22.0,0.716,0.132
93121138,[],1355.0,INCLUDED,91.0,1.596,0.847
93131167,[],654.0,INCLUDED,44.0,1.63,0.415
93169426,[],751.0,INCLUDED,51.0,2.794,0.097
93184362,[],148.0,INCLUDED,10.0,0.858,0.1
93199497,[],1266.0,INCLUDED,85.0,2.205,0.049
93210316,[],277.0,INCLUDED,19.0,2.304,0.033
93235333,[],2460.0,INCLUDED,164.0,7.543,0.123
93252299,[],1310.0,INCLUDED,88.0,5.423,1.213
93277546,[],97.0,INCLUDED,7.0,0.306,0.049
93309253,[],211.0,INCLUDED,15.0,0.335,0.093
93345132,[],1178.0,INCLUDED,79.0,4.265,0.76
93360769,[],1592.0,INCLUDED,107.0,1.366,0.111
