scenario,replicate,planted_events,observed_events,test_events,clock_test_bits,clock_test_bits_per_event,clock_mdl_net_bits,selected_direction_horizon,selected_direction_polarity,direction_test_accuracy,direction_test_n,direction_mdl_net_bits,clock_family_recovered,clock_mdl_recovered,contrarian_family_recovered,exact_horizon_recovered
continuous_low_noise,22,420,420,115,38.56902509542856,0.33538282691677007,-39.83129651284881,5,contrarian,0.9565217391304348,115,82.32785310354623,True,False,True,True
continuous_low_noise,23,420,420,112,44.91175917142046,0.4009978497448255,-33.62271296518111,5,contrarian,0.9196428571428571,112,63.81512804240063,True,False,True,True
continuous_low_noise,24,420,420,99,45.49431771123456,0.45953856273974303,-33.606762416427316,5,contrarian,0.8383838383838383,99,32.8219674139134,True,False,True,True
continuous_low_noise,25,420,420,112,49.1378455668047,0.4387307639893277,-29.396626569796865,5,contrarian,0.9464285714285714,112,75.24559191757437,True,False,True,True
continuous_low_noise,26,420,420,104,47.03579429637886,0.45226725284979674,-31.850122811303613,5,contrarian,0.875,104,44.46929790724197,True,False,True,True
continuous_low_noise,27,420,420,106,44.342647832369174,0.4183268663431054,-34.456249282101275,5,contrarian,0.839622641509434,106,35.66757547356607,True,False,True,True
continuous_low_noise,28,420,420,101,35.035252269965035,0.34688368584123797,-43.98016756080123,5,contrarian,0.8811881188118812,101,44.88046560673202,True,False,True,True
continuous_low_noise,29,420,420,103,32.31427181765359,0.31373079434615136,-46.61494896867079,5,contrarian,0.9223300970873787,103,59.42672849156857,True,False,True,True
continuous_low_noise,30,420,420,114,55.86744051539105,0.4900652676788689,-22.577743990189134,5,contrarian,0.8947368421052632,114,55.657473274965874,True,False,True,True
continuous_low_noise,31,420,420,104,31.47441978400337,0.3026386517692632,-47.4114973236791,5,contrarian,0.8557692307692307,104,39.09790360346358,True,False,True,True
continuous_low_noise,32,420,420,103,28.548646376490204,0.27717132404359424,-50.380574409834175,5,contrarian,0.941747572815534,103,66.99176639660683,True,False,True,True
continuous_low_noise,33,420,420,116,27.099552613658897,0.2336168328763698,-51.25575876405516,5,contrarian,0.8706896551724138,116,48.5569232572607,True,False,True,True
continuous_low_noise,34,420,420,95,37.012999715116074,0.3896105233170113,-42.25781141008418,5,contrarian,0.8526315789473684,95,34.694536351021014,True,False,True,True
continuous_low_noise,35,420,420,107,37.017298365303205,0.34595605948881497,-41.73788068055667,5,contrarian,0.8490566037735849,106,38.10721048597162,True,False,True,True
continuous_low_noise,36,420,420,97,46.64555918796943,0.480882053484221,-32.54064918162285,5,contrarian,0.8762886597938144,97,41.62623388820714,True,False,True,True
continuous_low_noise,37,420,420,104,27.338058565242395,0.2628659477427153,-51.54785854244008,5,contrarian,0.9223300970873787,103,59.42672849156857,True,False,True,True
continuous_low_noise,38,420,420,91,37.07193829004331,0.40738393725322325,-42.366527560441476,5,contrarian,0.8791208791208791,91,39.59868313791789,True,False,True,True
continuous_low_noise,39,420,420,107,35.95686774001261,0.3360454928973141,-42.798311305847264,5,contrarian,0.9065420560747663,107,56.07385909610229,True,False,True,True
continuous_low_noise,40,420,420,107,43.638377442773766,0.40783530320349315,-35.11680160308611,5,contrarian,0.8867924528301887,106,48.99133388265269,True,False,True,True
continuous_low_noise,41,420,420,105,40.36453255828817,0.3844241196027445,-38.47794361639098,5,contrarian,0.8761904761904762,105,45.27763693813651,True,False,True,True
continuous_low_noise,42,420,420,111,36.96119570483027,0.332983745088561,-41.6177030602613,5,contrarian,0.8818181818181818,110,49.34769354027302,True,False,True,True
continuous_low_noise,43,420,420,103,53.19420186022932,0.5164485617497993,-25.73501892609506,5,contrarian,0.883495145631068,103,46.51930796686375,True,False,True,True
