feature,percentile,threshold,direction,precision,recall,lift,TP,FP,FN
return_10,80,0.000779864263280583,below,0.0010313345531245987,0.7885985748199796,0.9857466639210798,332,321581,89
macd_signal,40,-0.23738996904104967,above,0.0010313078557494335,0.5914489311149846,0.9857456432218414,249,241192,172
distance_ema_50,60,0.0002621647721094264,below,0.0010313078557494335,0.5914489311149846,0.9857456432218414,249,241192,172
ema_20_50_diff,40,-0.39447041529638227,above,0.0010313078557494335,0.5914489311149846,0.9857456432218414,249,241192,172
distance_ema_20,60,0.00015166211708049612,above,0.0010313057200191287,0.3942992874099898,0.9857436018460957,166,160795,255
rsi_7,10,29.087665673097263,above,0.0010299485854084146,0.8859857482164228,0.9844292991648225,373,361781,48
return_60,10,-0.003119632329046995,above,0.0010300822685007443,0.8859857482164228,0.984427396473527,373,361734,48
macd_hist,90,0.6312524645420944,below,0.0010299286781293375,0.8859857482164228,0.9844273963737644,373,361788,48
ema_20_50_diff,10,-3.1101285865042883,above,0.0010299286781293375,0.8859857482164228,0.9844273963737644,373,361788,48
atr_ratio,70,0.0005808501746247122,below,0.0010295699592787293,0.688836104511428,0.9840527334993778,290,281381,131
stochastic_d_14,30,31.198074744075015,above,0.001029573614513434,0.688836104511428,0.9840513360596718,290,281380,131
bollinger_z_20,50,0.050646206851768634,above,0.0010288730609222033,0.4916864608064331,0.983371981731148,207,200984,214
macd,50,0.04688337237439555,above,0.0010288219243443073,0.4916864608064331,0.9833695379315635,207,200994,214
rsi_14,20,40.8371080834312,above,0.0010282409003786752,0.7862232779078713,0.9827799898403378,331,321578,90
return_30,80,0.0013775258721338002,below,0.001028279232176749,0.7862232779078713,0.9827775474798245,331,321566,90
macd_hist,80,0.35521303837759993,below,0.001028202571438331,0.7862232779078713,0.982777547455316,331,321590,90
rsi_21,40,48.0792516965707,above,0.0010272213662044128,0.5890736342028763,0.9817884519745709,248,241180,173
return_10,90,0.0013325208993788529,below,0.0010271930018334815,0.8836104513043145,0.9817881808504718,372,361780,49
distance_ema_100,10,-0.001944645428542928,above,0.0010271674752389103,0.8836104513043145,0.9817881808338884,372,361789,49
distance_ema_20,90,0.0008790922889919824,below,0.0010271674752389103,0.8836104513043145,0.9817881808338884,372,361789,49
macd,40,-0.25108129967429704,above,0.001027166057131966,0.5890736342028763,0.981786825377577,248,241193,173
macd,30,-0.6073865350554115,above,0.0010259832931578594,0.6864608075993196,0.980656314805069,289,281392,132
distance_ema_100,70,0.0007737757915842097,below,0.0010259832931578594,0.6864608075993196,0.980656314805069,289,281392,132
macd_signal,30,-0.5733294750483146,above,0.0010259832931578594,0.6864608075993196,0.980656314805069,289,281392,132
rsi_21,60,52.732776605674125,above,0.0010251503553854503,0.3919239904978814,0.9798090397730074,165,160787,256
distance_ema_100,60,0.00039850364444221956,above,0.0010250930349587726,0.3919239904978814,0.9798053873771434,165,160796,256
macd_signal,10,-1.8743572148905399,above,0.001024406272348483,0.8812351543922061,0.9791489652940122,371,361790,50
distance_ema_20,10,-0.0008510005416649535,above,0.001024406272348483,0.8812351543922061,0.9791489652940122,371,361790,50
ema_9_20_diff,10,-1.794226453617739,above,0.001024406272348483,0.8812351543922061,0.9791489652940122,371,361790,50
return_3,50,4.6887057668643095e-06,above,0.001023861947623989,0.48931116389432466,0.9786213924102304,206,200993,215
rsi_14,40,47.574569986647006,above,0.001023062394380194,0.5866983372907679,0.9778304375800638,247,241185,174
return_10,40,-0.0001870707093473145,above,0.001023049682109052,0.5866983372907679,0.9778280075162799,247,241188,174
distance_ema_20,80,0.0005152446571363072,below,0.0010219898670791872,0.7814726840836544,0.9768393145401781,329,321592,92
macd_signal,80,1.142612574117705,below,0.0010219898670791872,0.7814726840836544,0.9768393145401781,329,321592,92
distance_ema_9,90,0.0005548602815956864,below,0.001021645069458056,0.8788598574800978,0.9765097497541362,370,361791,51
rsi_7,20,36.24733850533941,above,0.0010189025053197241,0.7790973871715461,0.9738714081843557,328,321587,93
rsi_21,30,45.594073569288604,above,0.0010189373229285714,0.6817102137751029,0.973870803168325,287,281379,134
rsi_21,10,38.627500245663285,below,0.0010189373229285497,0.09738717339644326,0.9738708031683042,41,40197,380
