trade_idx,trade_dt,nn_1_dist,nn_5_dist,nn_10_dist,mean_nn_dist,std_nn_dist,min_nn_dist,is_isolated_outlier
14,2025-10-06 09:14:00,0.3579841629883326,0.4420297044929863,0.47260281100965457,0.43097781077749026,0.04083142022646538,0.3579841629883326,False
15,2025-10-06 11:10:00,0.45717413767452186,0.5926281649666829,0.6257416512902482,0.5819715047525892,0.04815875449507332,0.45717413767452186,False
16,2025-10-07 05:47:00,0.23618940452276538,0.3704877148712672,0.3922769848748716,0.3521343946475979,0.04468309409248009,0.23618940452276538,False
17,2025-10-07 05:53:00,0.17979704066564742,0.3312910940779034,0.3822477033078884,0.316867034606754,0.0601057705434502,0.17979704066564742,False
18,2025-10-07 06:17:00,0.36552249848544904,0.41631970965144505,0.4767097264949872,0.42726841805750604,0.036738506005795785,0.36552249848544904,False
19,2025-10-08 09:19:00,0.4896648572906506,0.6036410274930092,0.6405540377046931,0.5949604863727285,0.04520963378402966,0.4896648572906506,False
20,2025-10-08 09:36:00,0.266729854031781,0.534068716136743,0.5956945402647541,0.5105246995724958,0.09418095618384345,0.266729854031781,False
21,2025-10-08 09:42:00,0.3232013732963702,0.40403820086061587,0.4392123255021828,0.3919742000515066,0.04622593964205783,0.3232013732963702,False
22,2025-10-09 11:04:00,0.39832380491067076,0.4238354435749241,0.4373651285107657,0.4208511093531454,0.014377616323372804,0.39832380491067076,False
23,2025-10-09 11:19:00,0.3983211820752866,0.48336164168087326,0.4984424520915502,0.4604637213997341,0.04123062042753816,0.3983211820752866,False
24,2025-10-09 11:42:00,0.3012102170862055,0.37803502084610824,0.4351986519725659,0.39201900583555405,0.041941937327328475,0.3012102170862055,False
25,2025-10-10 16:29:00,0.36040825255955383,0.40510684475931374,0.46455273188992025,0.413823056773686,0.03628435923691631,0.36040825255955383,False
26,2025-10-13 12:38:00,0.2640409841434137,0.4923502570306689,0.5315683394875348,0.4459557021844402,0.09156450176233652,0.2640409841434137,False
27,2025-10-14 07:42:00,0.3770640438356923,0.4494866019873716,0.5035078645881584,0.45640738279602344,0.04012430303755323,0.3770640438356923,False
28,2025-10-14 07:52:00,0.4056762398691127,0.529348017556176,0.5712943714088912,0.515953249170472,0.0469758176640357,0.4056762398691127,False
29,2025-10-15 06:35:00,0.2501036575284966,0.3686991861020613,0.4015606542549294,0.3566707578528726,0.05544632557859183,0.2501036575284966,False
30,2025-10-16 10:15:00,0.4339213524095957,0.4707701927310675,0.5496003620342702,0.49567920930720166,0.04705291675430814,0.4339213524095957,False
31,2025-10-16 10:23:00,0.4074484626654807,0.5122663995580887,0.5760667206668004,0.5031213795354841,0.06058647127133699,0.4074484626654807,False
32,2025-10-16 10:29:00,0.39002910216427156,0.4660107127702843,0.5338150165297832,0.4824078606079289,0.04291911320259895,0.39002910216427156,False
33,2025-10-17 10:15:00,0.4680801341692808,0.6817336556308251,0.7442566722517553,0.6474184959191422,0.09255437434984008,0.4680801341692808,False
34,2025-10-17 12:37:00,0.5138671334273657,0.9845370799972238,1.0035872634252123,0.8975435616644443,0.15560382070531695,0.5138671334273657,False
35,2025-10-20 08:47:00,0.43340355192978924,0.6617339124247731,0.721966521330039,0.6499705104879203,0.08758730116789004,0.43340355192978924,False
36,2025-10-21 07:23:00,0.37103608373301705,0.4693672888172447,0.5202630529026412,0.47383616455507677,0.04307657953189813,0.37103608373301705,False
37,2025-10-21 07:42:00,0.41188937746963183,0.5616826660721848,0.6238305549085144,0.5521056817242851,0.07108719838730335,0.41188937746963183,False
