trade_idx,real_dt,real_return_1,real_return_5,real_rsi_14,real_h1_atr_pct,ctrl_dt,ctrl_return_1,ctrl_return_5,ctrl_rsi_14,ctrl_h1_atr_pct,hour_matched,atr_abs_diff,ret1_abs_diff
12,2025-10-03 07:17:00,-0.8844757595116715,-1.092564965343712,50.25062647825677,0.3858071363975599,2026-05-25 07:29:00,0.8828861394549747,2.651317946047449,85.02202625692622,0.38389396172390283,True,0.001913174673657092,1.7673618989666462
13,2025-10-03 15:18:00,-1.320325110640841,-2.7438144456648494,44.1910965669201,0.24291246373208905,2025-10-03 15:52:00,-1.3358465507640194,-0.9818948917694748,67.56918642075613,0.24291246373208905,True,0.0,0.015521440123178465
14,2025-10-06 09:14:00,0.5349780085817102,0.38212130823112034,31.88991050904282,0.32042864535925186,2025-09-01 09:30:00,-0.5451444130588623,0.2008576622181124,60.957178733826574,0.3207206311357304,True,0.00029198577647854274,1.0801224216405725
15,2025-10-06 11:10:00,1.7733393626873095,3.3191908775465073,69.11286280232818,0.3199141695459565,2025-10-06 11:42:00,-1.7774852544905073,-2.5568401822539943,30.971374912274072,0.3199141695459565,True,0.0,3.550824617177817
16,2025-10-07 05:47:00,0.6051399070861052,1.4877668997081983,55.266272097782775,0.32944334221712795,2025-12-18 05:57:00,-0.600035771364249,-0.4846498693178436,38.52364468980678,0.3295881298603244,True,0.00014478764319642012,1.2051756784503542
17,2025-10-07 05:53:00,1.084427743698324,-2.369790714704667,48.19897072474003,0.32944334221712795,2026-07-07 05:57:00,1.088037989449564,8.638284538315943,40.25875185969259,0.3268385856138267,True,0.002604756603301228,0.0036102457512399155
18,2025-10-07 06:17:00,-0.7053829536640688,6.882702860102619,67.6700110426572,0.32534676936830553,2025-10-07 06:52:00,-0.7045026525775988,3.8513577294607693,78.49462353775046,0.32534676936830553,True,0.0,0.0008803010864699701
19,2025-10-08 09:19:00,-3.1063247754503642,-10.769442792457617,35.9742367647447,0.29917912825303167,2026-05-26 09:23:00,3.1105125396679867,8.431545014409014,64.89184684621273,0.2986400936719527,True,0.0005390345810789565,6.216837315118351
20,2025-10-08 09:36:00,0.6949261702993148,1.6878454032909218,71.5333208649102,0.29917912825303167,2025-09-24 09:58:00,0.6893817968744997,-6.359039308136971,49.68394428627545,0.296629362147525,True,0.002549766105506668,0.005544373424815063
21,2025-10-08 09:42:00,-0.347312237422015,4.268948734145184,69.48968501923271,0.29917912825303167,2025-10-07 09:25:00,0.3457161977893364,-2.5984149668700773,50.234521493517214,0.2950284120852299,True,0.004150716167801771,0.6930284352113514
22,2025-10-09 11:04:00,-0.9002087591558627,1.6371585377195075,63.10541297955969,0.4243624782398791,2026-08-05 11:21:00,-0.9121973995174226,-4.103578152165888,38.04920909203481,0.42085755354679044,True,0.0035049246930886624,0.011988640361559888
23,2025-10-09 11:19:00,-3.6408894172712536,4.189063075143995,74.78559167693196,0.4243624782398791,2026-02-25 11:29:00,3.6599448889340636,0.6162242208840318,68.80967530468743,0.42642586622619516,True,0.0020633879863160565,7.300834306205317
24,2025-10-09 11:42:00,-2.32746720809196,-2.2532030767374867,62.80991721002303,0.4243624782398791,2026-04-22 11:15:00,-2.3330233144691626,-9.178676485259718,35.02262439001255,0.4229194085598535,True,0.0014430696800256104,0.0055561063772024966
25,2025-10-10 16:29:00,-2.103599785132637,0.8517087406612056,67.07289672363152,0.41213047736737035,2025-10-10 16:27:00,-2.1048701432935246,-1.1026615493137104,59.91414548659219,0.41213047736737035,True,0.0,0.001270358160887497
26,2025-10-13 12:38:00,2.7267802988895085,2.923362456410672,39.908606174316986,0.4966218210617066,2025-10-13 12:45:00,2.7251936790251285,0.9573312550248403,72.78488865180323,0.4966218210617066,True,0.0,0.0015866198643799123
27,2025-10-14 07:42:00,0.38451786866566806,9.501439047066018,40.57287884626325,0.36065132714451925,2026-01-08 07:39:00,0.38338153792283336,-8.343664335487277,37.811745733763885,0.3648291999784429,True,0.004177872833923624,0.0011363307428347014
28,2025-10-14 07:52:00,-0.9598782874320477,-1.6076919662189049,82.78326203337694,0.36065132714451925,2025-10-14 07:06:00,-0.9604192037726555,4.083840770570113,45.476756854841796,0.36065132714451925,True,0.0,0.0005409163406078221
29,2025-10-15 06:35:00,-0.573540429222863,2.741954145537573,56.47661120760945,0.44975657562232885,2026-07-14 06:39:00,-0.5728197049981176,0.79707572842036,45.83041340983682,0.4485288527805919,True,0.0012277228417369446,0.0007207242247453394
30,2025-10-16 10:15:00,-4.324712660654928,2.9325339813279783,70.01683940616562,0.3799306618084266,2026-08-10 10:09:00,-4.27044792636555,-1.6075859685293903,34.40959405150414,0.3808083601145966,True,0.0008776983061700161,0.054264734289377614
31,2025-10-16 10:23:00,-1.6938961856638457,-2.8275646211906036,63.00770996883467,0.3799306618084266,2026-05-12 10:28:00,-1.6813787305591799,-2.341005802503071,57.58039810060051,0.38047140556186365,True,0.0005407437534370452,0.012517455104665842
32,2025-10-16 10:29:00,0.763011651871981,8.013885060556003,65.39528975374454,0.3799306618084266,2026-08-10 10:41:00,-0.7573575565344992,4.753315552412651,68.88168549721607,0.3808083601145966,True,0.0008776983061700161,1.5203692084064802
