trade_ticket,trade_time,trade_direction,control_time,clock_event,state_similarity,state_difference,market_difference,event_difference,candidate_hidden_condition
91202282,2026-04-09 09:07:52,Sell,2026-04-09 10:07:00,M30 phase 7,0.7083800877314873,trades_session_before Δz=1.99; trades_today_before Δz=1.03; m1_range Δz=0.83; cooldown_log_seconds Δz=0.52,m1_return_5 Δ=-1.77456e-05; m1_ema20_dist Δ=0.0524,same measured event flags,no isolated measured clock/event condition
91206718,2026-04-09 11:06:30,Buy,2026-04-09 10:36:00,M30 phase 6,0.683421672409289,m1_return_5 Δz=1.94; m15_price_ema20 Δz=0.86; m1_ema20_dist Δz=0.76; m1_atr_ratio Δz=0.46,m1_return_5 Δ=-0.0021391; m1_ema20_dist Δ=-1.03,same measured event flags,no isolated measured clock/event condition
91227583,2026-04-09 16:53:03,Buy,2026-04-09 15:23:00,M30 phase 23,0.7751066876282248,m1_return_5 Δz=1.99; m15_price_ema20 Δz=1.56; m1_atr_ratio Δz=0.76; h1_price_ema20 Δz=0.36,m1_return_5 Δ=-0.00219069; m1_ema20_dist Δ=-0.326,"event_any, event_count","event_any, event_count"
91267065,2026-04-10 08:14:46,Buy,2026-04-10 07:44:00,M30 phase 14,0.24862405692083822,m15_price_ema20 Δz=0.58; m1_return_5 Δz=0.47; m1_atr_ratio Δz=0.29; h1_price_ema20 Δz=0.27,m1_return_5 Δ=-0.000516651; m1_ema20_dist Δ=0.218,same measured event flags,no isolated measured clock/event condition
91267485,2026-04-10 08:30:33,Buy,2026-04-10 09:30:00,M30 phase 0,0.7560515247388117,trades_session_before Δz=1.99; trades_today_before Δz=1.03; cooldown_log_seconds Δz=0.80; m1_ema20_dist Δz=0.61,m1_return_5 Δ=-0.000649564; m1_ema20_dist Δ=-0.832,"event_any, event_count","event_any, event_count"
91276550,2026-04-10 14:42:46,Buy,2026-04-10 13:42:00,M30 phase 12,0.21151538255176033,m1_ema20_dist Δz=0.62; m1_range Δz=0.20; h1_price_ema20 Δz=0.19; m15_price_ema20 Δz=0.17,m1_return_5 Δ=0.000101801; m1_ema20_dist Δ=0.84,"event_any, event_count","event_any, event_count"
91352434,2026-04-13 09:00:33,Buy,2026-04-13 08:30:00,M30 phase 0,0.41393841909687995,m1_ema20_dist Δz=0.92; m1_return_5 Δz=0.90; m15_price_ema20 Δz=0.52; m1_atr_ratio Δz=0.25,m1_return_5 Δ=0.00099492; m1_ema20_dist Δ=1.24,clock_h1_post120,clock_h1_post120
91356501,2026-04-13 11:14:05,Sell,2026-04-13 10:44:00,M30 phase 14,0.13451429493962966,cooldown_log_seconds Δz=0.26; h1_price_ema20 Δz=0.24; m1_range Δz=0.17; m1_ema20_dist Δz=0.14,m1_return_5 Δ=-0.000154711; m1_ema20_dist Δ=-0.19,"event_any, event_count","event_any, event_count"
91397685,2026-04-13 18:37:59,Buy,2026-04-13 21:37:00,M30 phase 7,0.7901804465598495,trades_session_before Δz=1.99; trades_today_before Δz=1.03; m15_price_ema20 Δz=0.93; m1_return_5 Δz=0.81,m1_return_5 Δ=0.000892503; m1_ema20_dist Δ=-0.181,event_count,event_count
91431248,2026-04-14 09:44:43,Buy,2026-04-14 07:14:00,M30 phase 14,0.20950465710200225,h1_price_ema20 Δz=0.42; m1_ema20_dist Δz=0.40; m1_atr_ratio Δz=0.31; m1_range Δz=0.18,m1_return_5 Δ=-0.000102768; m1_ema20_dist Δ=0.543,"event_any, event_count","event_any, event_count"
