model,fold,rule_type,rule_or_feature,coefficient,threshold,oos_f1,oos_precision
E2 events + eligibility state,1,L1 logistic feature,cooldown_log_seconds,-0.31222177871237083,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,seconds_since_last_entry,0.8310175415128013,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,prior_win_code,-0.24495536898611261,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,prior_direction_code,-0.17558735940125955,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,prior_large_code,-0.04841097788977418,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,boundary_5,-0.03690263811892977,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,boundary_15,-0.06041025879019014,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,boundary_30,0.12756967566026162,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,boundary_60,0.052922158188533054,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,hour_sin,-0.16859433733485985,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,hour_cos,-1.5543770149114047,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,dow_sin,0.25539492033440586,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,dow_cos,-0.33358601199826715,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,2,L1 logistic feature,event_cross_prior_high_10,-0.8017361842183865,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_cross_prior_high_20,-0.060219744229493194,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_cross_prior_low_20,0.03754653895475011,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_cross_session_high,-0.15668111301371807,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_cross_session_low,-0.36254054592139134,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_cross_vwap,-0.04571098596057323,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_cross_ema20,0.002542532917877712,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_large_body_expansion,-0.04046671653581947,0.9684894394266095,0.0,0.0
E2 events + eligibility state,2,L1 logistic feature,event_compression_to_expansion,0.026976875311943777,0.9684894394266095,0.0,0.0
