entry_timestamp,tickets,near_miss_rank,near_miss_timestamp,state_distance,minutes_from_entry,entry_m1_body_abs,near_miss_m1_body_abs,entry_m1_body_ratio,near_miss_m1_body_ratio,entry_m1_range_expansion,near_miss_m1_range_expansion,entry_m1_atr_ratio,near_miss_m1_atr_ratio,entry_m1_velocity_5,near_miss_m1_velocity_5,entry_m1_ema9_20_spread,near_miss_m1_ema9_20_spread,entry_m1_vwap_dist,near_miss_m1_vwap_dist,entry_hour_sin,near_miss_hour_sin,entry_hour_cos,near_miss_hour_cos
2025-10-02 08:13:00,36322976,3,2025-10-02 09:21:00,0.8695055143540896,68.0,0.49,0.42,0.42350906,0.36206895,1.3375722,0.9707113,0.0002211433,0.00028758438,0.054946266,-0.080816254,1.1803733,0.944705,6.4872756,8.216681,0.8362861,0.639439,-0.54829323,-0.7688418
2025-10-02 15:17:00,36334931,1,2025-10-02 15:44:00,0.9303421237690803,27.0,1.03,1.08,0.5943451,0.75524473,1.151495,0.82970697,0.00040563475,0.00047049607,-3.1555543,-2.868526,-0.30656847,-0.06623217,8.824673,7.0786223,-0.75756496,-0.82903755,-0.65275973,-0.5591929
2025-10-02 15:17:00,36334931,2,2025-10-02 13:49:00,0.9420062738382909,-88.0,1.03,0.747,0.5943451,0.7622449,1.151495,0.99492383,0.00040563475,0.00028586097,-3.1555543,-3.2078905,-0.30656847,-0.26632804,8.824673,10.769873,-0.75756496,-0.4578739,-0.65275973,-0.88901716
2025-10-02 15:17:00,36334931,3,2025-10-02 16:38:00,1.0912884080641552,81.0,1.03,1.06,0.5943451,0.4753363,1.151495,1.347432,0.00040563475,0.00062201737,-3.1555543,-2.4694884,-0.30656847,-0.13659856,8.824673,6.197428,-0.75756496,-0.9366722,-0.65275973,-0.3502074
2025-10-02 15:23:00,36335183;36335196,1,2025-10-02 15:48:00,0.9842198548992576,25.0,0.04,0.157,0.02048131,0.11742707,1.097191,0.775747,0.00045323948,0.000471717,0.60240334,0.79710317,-0.75139326,-0.28432193,7.5254607,7.202506,-0.77439266,-0.83867055,-0.63270533,-0.54463905
2025-10-02 15:23:00,36335183;36335196,2,2025-10-02 15:55:00,0.9876772906544623,32.0,0.04,0.13,0.02048131,0.09352518,1.097191,0.8769716,0.00045323948,0.00043142386,0.60240334,-0.18509264,-0.75139326,-0.32378125,7.5254607,7.3344564,-0.77439266,-0.85491186,-0.63270533,-0.51877326
2025-10-02 15:23:00,36335183;36335196,3,2025-10-02 15:51:00,1.0189944001651183,28.0,0.04,0.08,0.02048131,0.0776699,1.097191,0.64984226,0.00045323948,0.00044472975,0.60240334,0.8206865,-0.75139326,-0.32208872,7.5254607,7.3016214,-0.77439266,-0.8457278,-0.63270533,-0.5336145
2025-10-02 16:13:00,36337657,1,2025-10-02 16:15:00,0.18530743190922605,2.0,0.77,0.86,0.712963,0.7288136,0.66522944,0.72682476,0.00040557524,0.0003971323,1.527134,1.384966,1.066887,1.12821,13.142404,13.202958,-0.89297897,-0.89687276,-0.45009845,-0.4422887
2025-10-02 16:13:00,36337657,2,2025-10-02 16:06:00,0.8058086422586614,-7.0,0.77,0.92,0.712963,0.5654579,0.66522944,1.0146555,0.00040557524,0.00042693393,1.527134,1.5239375,1.066887,0.9993222,13.142404,11.128726,-0.89297897,-0.87881714,-0.45009845,-0.47715876
2025-10-02 16:13:00,36337657,3,2025-10-02 16:26:00,0.9917435833650314,13.0,0.77,0.947,0.712963,0.72290075,0.66522944,0.95725244,0.00040557524,0.00037770567,1.527134,0.4782966,1.066887,0.75462544,13.142404,14.013674,-0.89297897,-0.9170601,-0.45009845,-0.39874908
2025-10-03 10:17:00,36368405,1,2025-10-03 09:43:00,0.5838923676912725,-34.0,0.65,0.62,0.7647059,0.7848101,0.7532122,0.7979798,0.00031793234,0.00030350115,-0.8748322,-0.42689696,-0.071761794,0.18966568,3.7063239,5.2531633,0.43444526,0.56280494,-0.90069824,-0.82658976
2025-10-03 10:17:00,36368405,2,2025-10-03 09:58:00,0.7897173966134513,-19.0,0.65,0.49,0.7647059,0.74242425,0.7532122,0.556962,0.00031793234,0.00030087278,-0.8748322,0.0775489,-0.071761794,-0.2556897,3.7063239,3.6641307,0.43444526,0.5075384,-0.90069824,-0.8616292
2025-10-03 10:17:00,36368405,3,2025-10-03 09:00:00,0.9126723958647595,-77.0,0.65,0.33,0.7647059,0.6,0.7532122,0.48672566,0.00031793234,0.00031121087,-0.8748322,-1.0336072,-0.071761794,-0.07614454,3.7063239,1.9142871,0.43444526,0.70710677,-0.90069824,-0.70710677
2025-10-03 18:18:00,36383087,1,2025-10-03 18:13:00,0.45488896823391833,-5.0,0.19,0.26,0.12179487,0.1780822,0.789274,0.76180536,0.0005450737,0.0005911175,0.22229235,0.5277717,0.20280722,0.0035290255,6.737151,6.074302,-0.9969173,-0.9983917,0.0784591,0.056692787
2025-10-03 18:18:00,36383087,2,2025-10-03 17:58:00,0.5137990094353603,-20.0,0.19,0.027,0.12179487,0.020930232,0.789274,0.60379124,0.0005450737,0.0005875853,0.22229235,0.29405764,0.20280722,0.21161562,6.737151,5.969747,-0.9969173,-0.9999619,0.0784591,-0.008726535
2025-10-03 18:18:00,36383087,3,2025-10-03 18:16:00,0.6717879352282554,-2.0,0.19,0.21,0.12179487,0.15441176,0.789274,0.71900606,0.0005450737,0.000563219,0.22229235,1.1806686,0.20280722,0.19182229,6.737151,6.9328475,-0.9969173,-0.9975641,0.0784591,0.06975647
