ticket,role,observed_timestamp,observed_entry_minute,control_timestamp,state_similarity,event_sequence_similarity,observed_event_cross_prior_high_10,control_event_cross_prior_high_10,observed_event_cross_prior_low_10,control_event_cross_prior_low_10,observed_event_cross_prior_high_20,control_event_cross_prior_high_20,observed_event_cross_prior_low_20,control_event_cross_prior_low_20,observed_event_cross_session_high,control_event_cross_session_high,observed_event_cross_session_low,control_event_cross_session_low,observed_event_cross_vwap,control_event_cross_vwap,observed_event_cross_ema20,control_event_cross_ema20,observed_event_large_body_expansion,control_event_large_body_expansion,observed_event_compression_to_expansion,control_event_compression_to_expansion,observed_event_higher_low_break,control_event_higher_low_break,observed_event_lower_high_break,control_event_lower_high_break,observed_event_false_break_high,control_event_false_break_high,observed_event_false_break_low,control_event_false_break_low,observed_event_impulse_pullback_cont_up,control_event_impulse_pullback_cont_up,observed_event_impulse_pullback_cont_down,control_event_impulse_pullback_cont_down,observed_event_immediate_reversal,control_event_immediate_reversal,observed_boundary_5,control_boundary_5,observed_boundary_15,control_boundary_15,observed_boundary_30,control_boundary_30,observed_boundary_60,control_boundary_60
36893509,before,2025-10-17 13:15:10,2025-10-17 13:15:00,2025-10-17 13:13:00,0.12030937817213698,0.9411764705882353,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
36893509,after,2025-10-17 13:15:10,2025-10-17 13:15:00,2025-10-17 13:21:00,0.111014339359147,0.8823529411764706,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
36902372,before,2025-10-17 15:37:18,2025-10-17 15:37:00,2025-10-17 15:33:00,0.29323457166480427,0.8823529411764706,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36902372,after,2025-10-17 15:37:18,2025-10-17 15:37:00,2025-10-17 15:46:00,0.37129733788529296,0.8235294117647058,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36954767,before,2025-10-20 11:47:26,2025-10-20 11:47:00,2025-10-20 11:45:00,0.07947530672510376,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
36954767,after,2025-10-20 11:47:26,2025-10-20 11:47:00,2025-10-20 11:55:00,0.12553316718788912,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36997575,before,2025-10-21 10:23:43,2025-10-21 10:23:00,2025-10-21 10:17:00,0.14816942486813392,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36997575,after,2025-10-21 10:23:43,2025-10-21 10:23:00,2025-10-21 10:26:00,0.13960353868606848,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36998918,before,2025-10-21 10:42:21,2025-10-21 10:42:00,2025-10-21 08:44:00,0.3735270990039412,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36998918,after,2025-10-21 10:42:21,2025-10-21 10:42:00,2025-10-21 10:44:00,0.3797843842638679,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37005647,before,2025-10-21 13:56:35,2025-10-21 13:56:00,2025-10-21 13:54:00,0.09971054937953452,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37005647,after,2025-10-21 13:56:35,2025-10-21 13:56:00,2025-10-21 14:54:00,0.21299201535506132,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37045628,before,2025-10-22 10:02:29,2025-10-22 10:02:00,2025-10-22 09:05:00,0.3106727756610769,0.8823529411764706,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37045628,after,2025-10-22 10:02:29,2025-10-22 10:02:00,2025-10-22 10:04:00,0.208026615276788,0.9411764705882353,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37082195,before,2025-10-23 08:30:44,2025-10-23 08:30:00,2025-10-23 08:10:00,0.1685259295642159,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
37082195,after,2025-10-23 08:30:44,2025-10-23 08:30:00,2025-10-23 08:43:00,0.2622720234087626,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
37145681,before,2025-10-24 19:34:45,2025-10-24 19:34:00,2025-10-24 19:14:00,0.12285981603578142,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37145681,after,2025-10-24 19:34:45,2025-10-24 19:34:00,2025-10-24 19:36:00,0.1231937399357679,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
