trade_idx,ticket,side,volume,recorded_pnl,reconstructed_gross_pnl,reconstructed_net_pnl_spread,residual_vs_recorded,cumulative_recorded_pnl,cumulative_reconstructed_pnl
241,88014898,Buy,0.01,1.37,-0.77,-1.12,2.49,849.37,585.07
242,87966615,Sell,0.01,1.02,-4.55,-4.9,5.92,850.39,580.17
243,87764166,Buy,0.01,0.76,-0.3,-0.65,1.41,851.15,579.52
244,87728889,Buy,0.01,1.79,-5.7,-6.05,7.84,852.94,573.47
245,87728679,Buy,0.01,-1.53,-0.69,-1.04,-0.49,851.41,572.43
246,87725200,Buy,0.01,-1.27,-1.0,-1.35,0.08,850.14,571.08
247,87715345,Buy,0.01,1.86,4.86,4.51,-2.65,852.0,575.59
248,87640068,Buy,0.01,1.11,0.0,-0.35,1.46,853.11,575.24
249,87634841,Sell,0.01,2.84,13.14,12.79,-9.95,855.95,588.03
250,87455839,Sell,0.01,1.58,4.26,3.91,-2.33,857.53,591.94
251,87436917,Sell,0.01,-2.6,-1.45,-1.8,-0.8,854.93,590.14
252,87433721,Sell,0.01,2.13,-0.15,-0.5,2.63,857.06,589.64
253,87303856,Buy,0.01,-0.47,-2.0,-2.35,1.88,856.59,587.29
254,87220510,Buy,0.01,4.36,1.14,0.79,3.57,860.95,588.08
255,87193343,Buy,0.01,0.59,0.23,-0.12,0.71,861.54,587.96
256,87031092,Buy,0.01,0.38,-1.38,-1.73,2.11,861.92,586.23
257,87025580,Buy,0.01,2.78,1.98,1.63,1.15,864.7,587.86
258,87000308,Sell,0.01,1.09,-1.66,-2.01,3.1,865.79,585.85
259,86894280,Sell,0.01,0.31,1.66,1.31,-1.0,866.1,587.16
260,86784552,Buy,0.01,1.39,-1.37,-1.72,3.11,867.49,585.44
261,86773790,Buy,0.01,2.28,2.33,1.98,0.3,869.77,587.42
262,86716303,Buy,0.01,3.74,0.0,-0.35,4.09,873.51,587.07
263,86624724,Buy,0.01,-2.93,-0.39,-0.74,-2.19,870.58,586.33
264,86558318,Buy,0.01,3.34,2.14,1.79,1.55,873.92,588.12
265,86192606,Sell,0.01,2.82,1.15,0.8,2.02,876.74,588.92
266,86161488,Sell,0.01,1.62,2.33,1.98,-0.36,878.36,590.9
267,86155613,Buy,0.01,0.3,-1.1,-1.45,1.75,878.66,589.45
268,86014472,Buy,0.01,0.58,0.0,-0.35,0.93,879.24,589.1
269,86011644,Sell,0.01,1.46,-0.9,-1.25,2.71,880.7,587.85
270,86000608,Sell,0.01,-3.08,-9.27,-9.62,6.54,877.62,578.23
271,85948772,Buy,0.01,0.91,-0.49,-0.84,1.75,878.53,577.39
272,85942844,Sell,0.01,-0.9,0.3,-0.05,-0.85,877.63,577.34
273,85935017,Sell,0.01,1.84,1.25,0.9,0.94,879.47,578.24
274,85865765,Sell,0.01,2.23,2.38,2.03,0.2,881.7,580.27
