ticket,trade_time,control_time,state_similarity,trade_cooldown_log_seconds,trade_seconds_since_last_entry,trade_trades_today_before,trade_trades_prev_hour,trade_trades_session_before,trade_active_positions_before_candidate,trade_m1_atr_ratio,trade_m1_range,trade_m1_return_5,trade_m1_ema20_dist,trade_m15_price_ema20,trade_h1_price_ema20,control_cooldown_log_seconds,control_seconds_since_last_entry,control_trades_today_before,control_trades_prev_hour,control_trades_session_before,control_active_positions_before_candidate,control_m1_atr_ratio,control_m1_range,control_m1_return_5,control_m1_ema20_dist,control_m15_price_ema20,control_h1_price_ema20
37145681,2025-10-24 19:34:45,2025-10-24 19:04:00,0.20276232648975406,11.74472742385508,126196.0,0.0,0.0,0.0,0,0.00053758622,2.21,-0.00091825699,0.072157264,1.8938686,1.268585,11.730348686349531,124396.0,0.0,0.0,0.0,0,0.00063527207,2.5799999,-0.00022522605,0.087125301,1.7455709,1.268585
37162697,2025-10-27 08:13:05,2025-10-27 07:43:00,0.8821403633481913,12.292250341771226,218295.0,0.0,0.0,0.0,0,0.00040136935,0.64999998,0.0007583652,2.2210655,-0.53178906,-0.8991006,12.283959184187244,216495.0,0.0,0.0,0.0,0,0.00047728422,0.95999998,-0.00094269152,-1.2596276,-1.2515351,-0.93706077
37217619,2025-10-28 12:52:18,2025-10-28 10:52:00,0.4229460316709308,11.53807650905019,103135.0,0.0,0.0,0.0,0,0.00074417109,2.8599999,-0.00080089353,0.15991941,-1.8227265,-3.5013192,11.465278147502655,95935.0,0.0,0.0,0.0,0,0.00077441306,2.1400001,0.00031292893,0.10114782,-2.7026782,-2.4403255
37296835,2025-10-30 09:44:53,2025-10-30 08:44:00,0.3709872612326145,11.991058461189615,161502.0,0.0,0.0,0.0,0,0.00084805372,1.1900001,-0.00044420385,-0.47826979,0.71822262,0.009368821,11.968487819151903,157902.0,0.0,0.0,0.0,0,0.00088926865,3.6199999,-2.5266913e-06,0.011125926,-0.010841574,0.34148568
37386001,2025-11-03 18:38:37,2025-11-03 18:08:00,0.5428097900485863,12.839674153248843,377587.0,0.0,0.0,0.0,0,0.00083805202,4.0339999,-0.00024178016,-1.1603779,-0.18770324,0.73888528,12.834886617207877,375787.0,0.0,0.0,0.0,0,0.00074816681,1.88,-0.00025015805,0.48159733,1.2882401,0.73888528
37400976,2025-11-04 10:09:22,2025-11-04 07:09:00,0.34134827818417846,10.917902682403483,55823.0,0.0,0.0,0.0,0,0.00050935207,1.2,0.00025421061,1.0692267,0.13297668,-0.64756292,10.699980720954688,45023.0,0.0,0.0,0.0,0,0.00041750362,1.37,-1.7532544e-05,-0.38147327,0.41174814,-0.37621611
37442389,2025-11-05 09:55:47,2025-11-05 08:55:00,0.20513802337712267,11.350712371052925,85538.0,0.0,0.0,0.0,0,0.00042431682,1.14,-0.00028213044,-0.65741009,1.4030336,0.30994818,11.307449911309426,81938.0,0.0,0.0,0.0,0,0.00041496573,1.03,0.00016395737,-1.3102889,1.6394124,0.6814428
37477144,2025-11-06 12:42:44,2025-11-06 11:12:00,0.19461457338879287,11.47174924105148,96373.0,0.0,0.0,0.0,0,0.00025065601,0.81,-0.00016697215,-0.36246997,2.1359155,2.4366174,11.413834145659244,90973.0,0.0,0.0,0.0,0,0.00035460529,0.94999999,-0.00014225302,0.11960179,2.591634,1.9336089
37507379,2025-11-07 11:18:04,2025-11-07 10:18:00,0.25470649376150145,11.232841123193209,81316.0,0.0,0.0,0.0,0,0.00035677222,0.93000001,-0.00015963861,0.35623357,1.7252854,1.1259954,11.18403243347241,77716.0,0.0,0.0,0.0,0,0.00032887259,1.11,0.00045170443,1.242849,1.9451654,1.1194195
37542639,2025-11-10 10:42:17,2025-11-10 07:42:00,0.2630473450639712,12.437104998264621,257036.0,0.0,0.0,0.0,0,0.00035000406,0.97000003,-0.00027967122,-0.45682555,2.4476147,3.360467,12.393298821657584,246236.0,0.0,0.0,0.0,0,0.00025933335,1.08,-7.3997426e-06,0.24334355,2.1743183,2.4978147
37542995,2025-11-10 11:00:16,2025-11-10 12:00:00,1.7978336094899792,4.219507705176107,1063.0,1.0,1.0,1.0,0,0.000309397,0.94,-0.00021344743,-0.53980696,2.0254962,3.1699119,7.282073658093465,2229.0,3.0,2.0,3.0,0,0.00038765048,1.4,0.00012985311,0.43926707,2.2006581,3.4004345
37543683,2025-11-10 11:22:51,2025-11-10 11:52:00,0.6724284018832927,6.921658184151129,1304.0,2.0,2.0,2.0,0,0.00045437372,1.77,0.00060101977,0.50216091,2.3321574,3.1699119,6.881411303642535,1749.0,3.0,2.0,3.0,0,0.00043133044,2.1800001,0.00016664236,0.10163809,1.8647876,3.1699119
37610153,2025-11-12 10:19:02,2025-11-12 09:49:00,0.5578943373933977,12.032873354065467,168969.0,0.0,0.0,0.0,0,0.00034288302,0.97000003,-1.2124783e-05,1.489127,1.2355491,-0.19316155,12.022113749026843,167169.0,0.0,0.0,0.0,0,0.00042137981,2.26,-0.00078924967,-0.26706752,0.22737718,-1.3293542
37701576,2025-11-14 11:12:06,2025-11-14 09:12:00,0.13595850569538534,12.061705615998985,175978.0,0.0,0.0,0.0,0,0.00056392944,2.6199999,-0.00058639585,-0.67308927,-0.32990834,-0.52533919,12.019224860803707,168778.0,0.0,0.0,0.0,0,0.00050261122,1.8200001,-0.00056064711,-0.60323834,-0.56855559,-0.23299509
37748984,2025-11-17 09:17:27,2025-11-17 08:47:00,0.3771181923529104,12.421357397214088,252294.0,0.0,0.0,0.0,0,0.00060073711,2.1900001,0.00058432744,-0.31542796,-1.8892367,-1.9719957,12.414074132234358,250494.0,0.0,0.0,0.0,0,0.00068367267,2.0999999,0.0016807946,0.36214101,-2.4534533,-1.2897455
