trade_idx,ticket,side,volume,recorded_pnl,reconstructed_pnl_spread,reconstructed_pnl_zero_spread,residual_spread,residual_zero_spread,abs_residual,cum_recorded_pnl,cum_reconstructed_pnl_spread,cum_reconstructed_pnl_zero_spread
225,90081363,Buy,0.01,4.79,-12.56,-12.21,17.35,17.0,17.35,823.02,823.3,903.81
226,90080406,Buy,0.01,-0.32,4.86,5.21,-5.18,-5.53,5.18,822.7,828.16,909.02
227,90054432,Sell,0.01,0.31,2.11,2.46,-1.8,-2.15,1.8,823.01,830.27,911.48
228,90052400,Buy,0.01,3.09,0.54,0.89,2.55,2.2,2.55,826.1,830.81,912.37
229,89797106,Sell,0.01,9.16,-7.62,-7.27,16.78,16.43,16.78,835.26,823.19,905.1
230,89770716,Buy,0.01,1.55,-5.25,-4.9,6.8,6.45,6.8,836.81,817.94,900.2
231,89517529,Sell,0.01,3.22,-31.54,-31.19,34.76,34.41,34.76,840.03,786.4,869.01
232,88577933,Sell,0.01,1.81,-0.49,-0.14,2.3,1.95,2.3,841.84,785.91,868.87
233,88511817,Buy,0.01,1.42,-16.98,-16.63,18.4,18.05,18.4,843.26,768.93,852.24
234,88335699,Buy,0.01,3.73,-2.59,-2.24,6.32,5.97,6.32,846.99,766.34,850.0
235,88320644,Buy,0.01,0.72,1.81,2.16,-1.09,-1.44,1.09,847.71,768.15,852.16
236,88172039,Sell,0.01,1.64,0.73,1.08,0.91,0.56,0.91,849.35,768.88,853.24
237,88163179,Sell,0.01,-2.0,-1.19,-0.84,-0.81,-1.16,0.81,847.35,767.69,852.4
238,88154082,Sell,0.01,0.99,-0.88,-0.53,1.87,1.52,1.87,848.34,766.81,851.87
239,88144292,Sell,0.01,0.35,-2.82,-2.47,3.17,2.82,3.17,848.69,763.99,849.4
240,88015942,Sell,0.01,-0.69,-0.19,0.16,-0.5,-0.85,0.5,848.0,763.8,849.56
241,88014898,Buy,0.01,1.37,-1.05,-0.7,2.42,2.07,2.42,849.37,762.75,848.86
242,87966615,Sell,0.01,1.02,-3.86,-3.51,4.88,4.53,4.88,850.39,758.89,845.35
243,87764166,Buy,0.01,0.76,0.49,0.84,0.27,-0.08,0.27,851.15,759.38,846.19
244,87728889,Buy,0.01,1.79,-9.37,-9.02,11.16,10.81,11.16,852.94,750.01,837.17
245,87728679,Buy,0.01,-1.53,-0.78,-0.43,-0.75,-1.1,0.75,851.41,749.23,836.74
246,87725200,Buy,0.01,-1.27,-0.31,0.04,-0.96,-1.31,0.96,850.14,748.92,836.78
247,87715345,Buy,0.01,1.86,-0.03,0.32,1.89,1.54,1.89,852.0,748.89,837.1
248,87640068,Buy,0.01,1.11,0.86,1.21,0.25,-0.1,0.25,853.11,749.75,838.31
249,87634841,Sell,0.01,2.84,9.66,10.01,-6.82,-7.17,6.82,855.95,759.41,848.32
250,87455839,Sell,0.01,1.58,3.95,4.3,-2.37,-2.72,2.37,857.53,763.36,852.62
251,87436917,Sell,0.01,-2.6,-1.9,-1.55,-0.7,-1.05,0.7,854.93,761.46,851.07
252,87433721,Sell,0.01,2.13,2.06,2.41,0.07,-0.28,0.07,857.06,763.52,853.48
253,87303856,Buy,0.01,-0.47,-1.4,-1.05,0.93,0.58,0.93,856.59,762.12,852.43
254,87220510,Buy,0.01,4.36,-0.29,0.06,4.65,4.3,4.65,860.95,761.83,852.49
255,87193343,Buy,0.01,0.59,0.55,0.9,0.04,-0.31,0.04,861.54,762.38,853.39
256,87031092,Buy,0.01,0.38,0.25,0.6,0.13,-0.22,0.13,861.92,762.63,853.99
257,87025580,Buy,0.01,2.78,1.38,1.73,1.4,1.05,1.4,864.7,764.01,855.72
258,87000308,Sell,0.01,1.09,2.73,3.08,-1.64,-1.99,1.64,865.79,766.74,858.8
259,86894280,Sell,0.01,0.31,-2.13,-1.78,2.44,2.09,2.44,866.1,764.61,857.02
260,86784552,Buy,0.01,1.39,0.72,1.07,0.67,0.32,0.67,867.49,765.33,858.09
261,86773790,Buy,0.01,2.28,4.13,4.48,-1.85,-2.2,1.85,869.77,769.46,862.57
262,86716303,Buy,0.01,3.74,-0.83,-0.48,4.57,4.22,4.57,873.51,768.63,862.09
263,86624724,Buy,0.01,-2.93,-2.46,-2.11,-0.47,-0.82,0.47,870.58,766.17,859.98
