candidate,family,fold,validation_start,validation_end,train_observations,validation_observations,feature_count,signals,signals_per_10000,trades_captured,false_alarms,precision,recall,f1,pr_auc,roc_auc
l1_logistic,D_VOLATILITY,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,5,0,0.0,0,0,0.0,0.0,0.0,0.0012224120638724308,0.4858832665845143
l1_logistic,D_VOLATILITY,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,5,34669,10000.0,41,34628,0.0011826127087599873,1.0,0.002362431575914722,0.0011826127087599873,0.5
l1_logistic,D_VOLATILITY,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,5,34669,10000.0,37,34632,0.0010672358591248667,1.0,0.0021321961620469083,0.0010672358591248667,0.5
l1_logistic,E_TREND_LOCATION,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,7,34669,10000.0,62,34607,0.0017883411693443711,1.0,0.0035702974288099967,0.0017883411693443711,0.5
l1_logistic,E_TREND_LOCATION,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,7,34669,10000.0,52,34617,0.0014998990452565692,1.0,0.0029953054347513033,0.0014998990452565692,0.5
l1_logistic,E_TREND_LOCATION,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,7,34669,10000.0,45,34624,0.001297989558395108,1.0,0.0025926139309788558,0.001297989558395108,0.5
l1_logistic,E_TREND_LOCATION,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,7,34669,10000.0,41,34628,0.0011826127087599873,1.0,0.002362431575914722,0.0011826127087599873,0.5
l1_logistic,E_TREND_LOCATION,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,7,34669,10000.0,37,34632,0.0010672358591248667,1.0,0.0021321961620469083,0.0010672358591248667,0.5
l1_logistic,F_ACCOUNT_STATE,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,16,7,2.0190948686146126,0,7,0.0,0.0,0.0,0.003872108127725028,0.6003735958695658
l1_logistic,F_ACCOUNT_STATE,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,16,55,15.864316824829098,1,54,0.01818181818181818,0.019230769230769232,0.018691588785046728,0.002748921118423958,0.6373002593212317
l1_logistic,F_ACCOUNT_STATE,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,16,33,9.518590094897458,1,32,0.030303030303030304,0.022222222222222223,0.02564102564102564,0.003604859602120957,0.7128225123228589
l1_logistic,F_ACCOUNT_STATE,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,16,55,15.864316824829098,0,55,0.0,0.0,0.0,0.0028536883029527823,0.7000200035499258
l1_logistic,F_ACCOUNT_STATE,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,16,0,0.0,0,0,0.0,0.0,0.0,0.0028646631375633955,0.7436482740536794
l1_logistic,G_CLOCK_MARKET,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,48,50,14.42210620439009,0,50,0.0,0.0,0.0,0.0030513811587981826,0.701956624475563
l1_logistic,G_CLOCK_MARKET,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,48,50,14.42210620439009,0,50,0.0,0.0,0.0,0.0025166796457592494,0.7017341968485915
l1_logistic,G_CLOCK_MARKET,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,48,52,14.998990452565693,0,52,0.0,0.0,0.0,0.0019361886010187035,0.6600049419798726
l1_logistic,G_CLOCK_MARKET,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,48,52,14.998990452565693,0,52,0.0,0.0,0.0,0.0018229666777847076,0.6569056621315895
l1_logistic,G_CLOCK_MARKET,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,48,50,14.42210620439009,0,50,0.0,0.0,0.0,0.001777439995203457,0.6539007822791607
l1_logistic,H_CLOCK_STATE,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,30,3,0.8653263722634054,0,3,0.0,0.0,0.0,0.004565772570397152,0.7253814024199841
l1_logistic,H_CLOCK_STATE,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,30,2,0.5768842481756036,0,2,0.0,0.0,0.0,0.0034916386347416716,0.7270871803760268
l1_logistic,H_CLOCK_STATE,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,30,45,12.97989558395108,0,45,0.0,0.0,0.0,0.002543528110895389,0.7115276494146642
l1_logistic,H_CLOCK_STATE,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,30,35,10.095474343073063,1,34,0.02857142857142857,0.024390243902439025,0.02631578947368421,0.005474073340420755,0.7092054364577376
l1_logistic,H_CLOCK_STATE,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,30,4,1.1537684963512072,0,4,0.0,0.0,0.0,0.0027775300881363696,0.6998198822523147
l1_logistic,I_MARKET_STATE,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,50,7,2.0190948686146126,0,7,0.0,0.0,0.0,0.003872108127725028,0.6003735958695658
l1_logistic,I_MARKET_STATE,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,50,55,15.864316824829098,1,54,0.01818181818181818,0.019230769230769232,0.018691588785046728,0.002748921118423958,0.6373002593212317
l1_logistic,I_MARKET_STATE,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,50,33,9.518590094897458,1,32,0.030303030303030304,0.022222222222222223,0.02564102564102564,0.003604859602120957,0.7128225123228589
l1_logistic,I_MARKET_STATE,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,50,55,15.864316824829098,0,55,0.0,0.0,0.0,0.0028536883029527823,0.7000200035499258
l1_logistic,I_MARKET_STATE,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,50,0,0.0,0,0,0.0,0.0,0.0,0.0028634926265184994,0.7435202874392063
l1_logistic,J_CLOCK_MARKET_STATE,1,2026-03-25T02:06:00,2026-04-30T04:57:00,173333,34669,64,3,0.8653263722634054,0,3,0.0,0.0,0.0,0.004565875957032778,0.7253814024199841
l1_logistic,J_CLOCK_MARKET_STATE,2,2026-04-23T04:24:00,2026-05-28T09:45:00,201068,34669,64,2,0.5768842481756036,0,2,0.0,0.0,0.0,0.0034916580920538853,0.7270877359056578
l1_logistic,J_CLOCK_MARKET_STATE,3,2026-05-21T06:40:00,2026-06-25T16:02:00,228804,34669,64,45,12.97989558395108,0,45,0.0,0.0,0.0,0.002543551155034839,0.7115212312589855
l1_logistic,J_CLOCK_MARKET_STATE,4,2026-06-18T11:28:00,2026-07-23T22:18:00,256539,34669,64,35,10.095474343073063,1,34,0.02857142857142857,0.024390243902439025,0.02631578947368421,0.005476406215927923,0.7092984107038715
l1_logistic,J_CLOCK_MARKET_STATE,5,2026-07-16T21:46:00,2026-08-21T01:34:00,284275,34669,64,4,1.1537684963512072,0,4,0.0,0.0,0.0,0.00277796711681453,0.6998745106853215
